id,title,year,priority_year,publication_year,assignees,domains,cpc_groups,cpc_codes,ipc_groups,ipc_codes,concepts,countries,legal_state,focus
108863955,Electrolysis device and electrolysis method,2022,2022,2025,TOSHIBA,"Surface technology, coating",C25B,C25B-001/00; C25B-001/04; C25B-001/23; C25B-003/25; C25B-003/26; C25B-009/19; C25B-009/23; C25B-009/65; C25B-009/67; C25B-015/02,C25B,C25B-001/00; C25B-001/04; C25B-001/23; C25B-001/27; C25B-003/03; C25B-003/07; C25B-003/25; C25B-003/26,ACQUIRING TEMPERATURE; ACQUISITION; ANODE SECTION; CARBON DIOXIDE REDUCING SUBSTANCE; CATHODE SECTION; CLOUD; CURRENT DENSITY; DATA PROCESSING UNIT; DEGRADATION DETECTION; DETERIORATION DEGREE,JP,ALIVE,AEM; Non-noble candidate
85684691,Separatorless dual gde cell for electrochemical reactions,2018,2018,2024,SIEMENS ENERGY,"Surface technology, coating",C25B; Y02E; Y02P,C25B-001/00; C25B-001/04; C25B-001/26; C25B-003/25; C25B-009/06; C25B-009/17; C25B-009/19; C25B-011/03/5; C25B-011/031; C25B-013/02,C25B,C25B-001/04; C25B-001/23; C25B-001/26; C25B-003/07; C25B-003/25; C25B-003/26; C25B-009/17; C25B-011/031,ANODE COMPARTMENT; CELL; ELECTROCHEMICAL CONVERSION,DE,ALIVE,Non-noble candidate; GDE
94627574,System and method for the electrochemical conversion of a gaseous compound,2019,2019,2026,UNIVERSITEIT ANTWERPEN,"Surface technology, coating",C25B,C25B-003/03; C25B-003/07; C25B-003/26; C25B-009/05; C25B-009/23; C25B-009/65; C25B-009/75; C25B-009/77; C25B-013/02; C25B-015/083,C25B,C25B-003/07; C25B-003/25; C25B-003/26; C25B-009/05; C25B-009/19; C25B-009/23; C25B-009/73; C25B-013/02,ELECTROCHEMICAL CONVERSION; GASEOUS COMPOUND; GASEOUS COMPOUND CONVERSION,EP; BE,ALIVE,MEA; Non-noble candidate
115109027,(KR10-2025-0099621) Perovskite anode material and manufacturing method thereof,2023,2023,2025,KOREA ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY,"Micro-structure and nano-technology; Surface technology, coating",B82Y; C25B; Y02E,B82Y-040/00; C25B-001/04; C25B-003/26; C25B-009/17; C25B-011/031; C25B-011/067; C25B-011/0773; C25B-011/089; C25B-013/07; C25B-015/02,B82Y; C25B,B82Y-040/00; C25B-001/04; C25B-003/26; C25B-009/17; C25B-011/031; C25B-011/067; C25B-011/077; C25B-011/089,PEROVSKITE ANODE; PEROVSKITE ANODE MATERIAL; PEROVSKITE FUEL ELECTRODE MATERIAL; COBALT PEROVSKITE; COBALTITE PEROVSKITE; ELECTROLYTE PELLET; CO2 ELECTROLYSIS; BA PRECURSOR; PR PRECURSOR; FE PRECURSOR,KR,ALIVE,Non-noble candidate
117651217,For supercritical CO2Electroreduction reaction system and working method thereof,2025,2025,2026,TIANJING UNIVERSITY,"Surface technology, coating",Y02P,Y02P-020/54,C25B,C25B-001/23; C25B-003/03; C25B-003/07; C25B-003/26; C25B-009/00; C25B-009/60; C25B-015/02; C25B-015/08,CATHOLYTE CIRCULATION SUBSYSTEM; CO2ELECTROREDUCTION REACTION; SUPERCRITICAL CO2ELECTROREDUCTION REACTION; ANOLYTE CIRCULATION SUBSYSTEM; ANOLYTE CHAMBER; CATHOLYTE CHAMBER; ELECTROREDUCTION REACTION; ELECTROBATH ANOLYTE CHAMBER; ELECTROBATH CATHOLYTE CHAMBER; LIQUID OUTLET,CN,ALIVE,AEM; Non-noble candidate
100868293,Nitrogen-doped mesoporous carbon nano microsphere loaded by atomic-scale manganese metal and application thereof,2022,2022,2024,BEIJING UNIVERSITY OF TECHNOLOGY,"Electrical machinery, apparatus, energy; Materials, metallurgy; Surface technology, coating",C01B; C25B; H01M; Y02P,C01B-032/15; C25B-001/23; C25B-011/091; H01M-004/88/25; H01M-004/90/41; H01M-004/90/83; H01M-012/06; H01M-2004/8689; Y02P-020/133,C01B; C25B; H01M,C01B-032/15; C25B-001/23; C25B-011/091; H01M-004/88; H01M-004/90; H01M-012/06,ATOMIC LEVEL MANGANESE METAL; ATOMIC SCALE MANGANESE METAL; CARBON NANO MICROSPHERE; CARBON NANOSPHERE; MANGANESE METAL; OPALESCENT NANO MICROEMULSION; MESOPOROUS CARBON NANOMICROSPHERE; MILKY NANOMETER MICROEMULSION; MILKY NANO MICROEMULSION,CN,ALIVE,Non-noble candidate
106316002,"Catalyst and production method for same, cathode, ion exchange membrane electrode assembly, and solid electrolyte electr...",2022,2022,2026,IDEMITSU KOSAN; OSAKA UNIVERSITY,"Chemical engineering; Materials, metallurgy; Surface technology, coating",C01B; C01P; C25B; Y02E,C01B-032/05; C01B-032/40; C01P-2002/60; C01P-2004/60; C25B-001/23; C25B-003/26; C25B-009/23; C25B-011/032; C25B-011/037; C25B-011/054,B01J; C01B; C25B,B01J-027/24; B01J-037/04; B01J-037/08; C01B-032/05; C01B-032/40; C25B-001/23; C25B-003/26; C25B-009/23,CARBON; CARRIER; CATALYST; CATALYST PARTICLE SIZE; ION EXCHANGE,JP; CN,ALIVE,MEA; AEM; Non-noble candidate; GDE
116773798,Tin-based alloy catalyst as well as preparation method and application thereof,2025,2025,2025,CHINA ELECTRONIC TECHNOLOGY; HARBIN INSTITUTE OF TECHNOLOGY,"Electrical machinery, apparatus, energy; Surface technology, coating",C25B; H01M; Y02E,C25B-001/00/3; C25B-001/04; C25B-011/04; C25B-011/04/52; C25B-011/04/78; C25B-011/04/84; H01M-004/90/16; Y02E-060/366,C25B; H01M,C25B-001/04; C25B-001/23; C25B-003/26; C25B-011/061; C25B-011/067; C25B-011/081; C25B-011/089; H01M-004/90,ALLOY CATALYST; TIN ALLOY CATALYST; SELECTIVITY CHALLENGE; ANODE OER; CATALYST DEACTIVATION; TIN DIOXIDE; ULTRAFINE GRINDER; METALLIC TIN; SLOW DYNAMICS; COMPETITION,CN,ALIVE,
79172273,A kind of graphene/carbon nano-tube load single dispersion metal atomic composite catalyst and its preparation method an...,2017,2017,2019,INSTITUTE OF COAL CHEMISTRY - CHINESE ACADEMY OF SCIENCE,"Surface technology, coating",C25B,C25B-001/00; C25B-003/25; C25B-011/091,C25B,C25B-003/25,ATOM COMPOSITE CATALYST; ATOMIC COMPOSITE CATALYST; CARBON NANOTUBE; CARBON NANOTUBE LOADED MONODISPERSE; DISPERSION METAL,CN,ALIVE,Non-noble candidate; GDE
108863961,Electrolysis device and method of controlling electrolysis device,2022,2022,2025,TOSHIBA,"Surface technology, coating",C25B; Y02E,C25B-001/04; C25B-001/23; C25B-001/27; C25B-003/03; C25B-003/26; C25B-009/05; C25B-009/19; C25B-009/67; C25B-015/02; C25B-015/021,C25B; C25C,C25B-001/04; C25B-001/23; C25B-001/27; C25B-003/03; C25B-003/07; C25B-003/26; C25B-009/00; C25B-009/05,AMMONIA; ANODE DISCHARGE; ANODE FLOW PATH; ANODE FLOW PATH PRESSURE; ANODE FLUID; ANODE INLET; ANODE MEASURED PRESSURE; ANODE OUTLET; ANODE PRESSURE; ANODE SOLUTION,JP,ALIVE,AEM; Non-noble candidate
